chr-gene-id	gene length (bp)	number HetSNPs	HetSNPs rates
chr02-7083558-7094176	10619	71	0.0066861286373481495
chr02-7125231-7131175	5945	106	0.017830109335576116
chr02-7131946-7132445	500	4	0.008
chr02-7264540-7268144	3605	24	0.00665742024965326
chr02-7273512-7277419	3908	2	0.0005117707267144319
chr02-7304770-7307703	2934	9	0.003067484662576687
chr02-7308225-7309399	1175	5	0.00425531914893617
chr02-7309591-7310161	571	0	0.0
chr02-7311235-7314838	3604	38	0.010543840177580466
chr02-7318603-7319932	1330	14	0.010526315789473684
chr02-7321004-7321700	697	4	0.005738880918220947
chr02-7324014-7324328	315	0	0.0
chr02-7328098-7329190	1093	17	0.01555352241537054
chr02-7329300-7334429	5130	21	0.004093567251461989
chr02-7355097-7359506	4410	37	0.008390022675736962
chr02-7360332-7361404	1073	13	0.012115563839701771
chr02-7378597-7382073	3477	27	0.007765314926660914
chr02-7396775-7401068	4294	42	0.009781089892873778
chr02-7440547-7440858	312	2	0.00641025641025641
chr02-7442390-7452208	9819	66	0.006721662083715246
chr02-7462691-7468952	6262	78	0.012456084318109231
chr02-7569693-7570301	609	6	0.009852216748768473
chr02-7654367-7659274	4908	45	0.009168704156479218
chr02-7661250-7663199	1950	19	0.009743589743589744
chr02-7686859-7691424	4566	55	0.012045554095488393
chr02-7692151-7694113	1963	12	0.006113092205807438
chr02-7701238-7701576	339	2	0.0058997050147492625
chr02-7774508-7774894	387	1	0.002583979328165375
chr02-7804802-7805239	438	6	0.0136986301369863
chr02-7805400-7807615	2216	14	0.00631768953068592
chr02-7807724-7808785	1062	5	0.004708097928436911
chr02-7816172-7818335	2164	16	0.0073937153419593345
chr02-7818814-7824586	5773	15	0.0025983024424042957
chr02-7837543-7837848	306	2	0.006535947712418301
chr02-7846361-7846763	403	0	0.0
chr02-7857144-7866311	9168	38	0.0041448516579406635
chr02-7933516-7933919	404	1	0.0024752475247524753
chr02-7933995-7934573	579	2	0.0034542314335060447
chr02-7986885-7989471	2587	34	0.013142636258214147
chr02-7992814-7996991	4178	53	0.012685495452369555
chr02-8073139-8077279	4141	20	0.004829751267809708
chr02-8128521-8131999	3479	28	0.008048289738430584
chr02-8139804-8142529	2726	9	0.003301540719002201
chr02-8145934-8146802	869	7	0.00805523590333717
chr02-8158876-8160958	2083	14	0.00672107537205953
chr02-8195230-8195685	456	4	0.008771929824561403
chr02-8202131-8207720	5590	54	0.00966010733452594
chr02-8269904-8270292	389	2	0.005141388174807198
chr02-8324295-8325347	1053	6	0.005698005698005698
chr02-8332556-8341232	8677	51	0.0058776074680189005
chr02-8352968-8355811	2844	13	0.004571026722925457
chr02-8366977-8370490	3514	15	0.0042686397268070575
chr02-8418202-8419589	1388	4	0.002881844380403458
chr02-8527868-8528771	904	5	0.0055309734513274336
chr02-8560775-8564282	3508	19	0.005416191562143672
chr02-8565530-8570615	5086	57	0.011207235548564688
chr02-8578761-8582260	3500	24	0.006857142857142857
chr02-8635909-8638980	3072	21	0.0068359375
chr02-8644600-8658561	13962	91	0.006517690875232775
chr02-8759519-8760937	1419	16	0.01127554615926709
chr02-8762423-8770722	8300	81	0.009759036144578313
chr02-8826199-8826578	380	3	0.007894736842105263
chr02-8847443-8895419	47977	213	0.004439627321424849
chr02-8925425-8927293	1869	2	0.001070090957731407
chr02-8933152-8935275	2124	4	0.0018832391713747645
chr02-8936583-8939847	3265	6	0.0018376722817764165
chr02-8941986-8942372	387	1	0.002583979328165375
chr02-8950204-8954235	4032	35	0.008680555555555556
chr02-9068183-9073082	4900	51	0.010408163265306122
chr02-9098542-9100173	1632	17	0.010416666666666666
chr02-9132321-9132920	600	10	0.016666666666666666
chr02-9166945-9168317	1373	10	0.007283321194464676
chr02-9168348-9168866	519	1	0.0019267822736030828
chr02-9206399-9208613	2215	16	0.007223476297968397
chr02-9209975-9214668	4694	24	0.0051129100979974435
chr02-9242511-9266854	24344	156	0.006408149852119619
chr02-9277106-9284233	7128	42	0.005892255892255892
chr02-9299693-9302895	3203	28	0.008741804558226662
chr02-9347185-9347685	501	0	0.0
chr02-9373437-9380453	7017	38	0.005415419695026365
chr02-9393662-9394248	587	6	0.010221465076660987
chr02-9395352-9400189	4838	31	0.0064076064489458455
chr02-9411684-9412276	593	1	0.0016863406408094434
chr02-9412286-9413224	939	1	0.0010649627263045794
chr02-9487517-9488573	1057	4	0.003784295175023652
chr02-9636531-9636821	291	3	0.010309278350515464
chr02-9645294-9648248	2955	15	0.005076142131979695
chr02-9656654-9661243	4590	40	0.008714596949891068
chr02-9662572-9669868	7297	56	0.007674386734274359
chr02-9689501-9693888	4388	27	0.006153144940747493
chr02-9922987-9925824	2838	16	0.005637773079633545
chr02-9945950-9946384	435	2	0.004597701149425287
chr02-9973901-9975587	1687	16	0.00948429164196799
chr02-10000499-10003810	3312	30	0.009057971014492754
chr02-10006288-10012905	6618	34	0.005137503777576307
chr02-10032639-10035151	2513	17	0.006764822920811779
chr02-10123181-10123528	348	2	0.005747126436781609
chr02-10300844-10301164	321	1	0.003115264797507788
chr02-10502027-10503166	1140	1	0.0008771929824561404
chr02-10700597-10701448	852	4	0.004694835680751174
chr02-10754443-10756036	1594	9	0.0056461731493099125
chr02-10757132-10759528	2397	17	0.0070921985815602835
chr02-10769196-10773774	4579	42	0.009172308364271676
chr02-10785249-10791276	6028	26	0.0043132050431320505
chr02-10796454-10797665	1212	14	0.01155115511551155
chr02-10800007-10800503	497	2	0.004024144869215292
chr02-10818998-10819691	694	0	0.0
chr02-10824872-10826973	2102	28	0.013320647002854425
chr02-10828521-10835120	6600	33	0.005
chr02-10836347-10839774	3428	7	0.002042007001166861
chr02-10840208-10841836	1629	0	0.0
chr02-10843351-10850101	6751	0	0.0
chr02-10850360-10851409	1050	0	0.0
chr02-10932149-10932956	808	5	0.006188118811881188
chr02-10933762-10934258	497	4	0.008048289738430584
chr02-10934935-10935255	321	3	0.009345794392523364
chr02-10938036-10938888	853	4	0.004689331770222743
chr02-10942962-10948180	5219	34	0.006514657980456026
chr02-10951107-10969939	18833	96	0.005097435352838103
chr02-10974428-10974733	306	0	0.0
chr02-10995053-10995879	827	3	0.0036275695284159614
chr02-10996348-10997778	1431	10	0.0069881201956673656
chr02-11007951-11013594	5644	30	0.005315379163713678
chr02-11023388-11026251	2864	19	0.006634078212290503
chr02-11053773-11055591	1819	20	0.010995052226498075
chr02-11064541-11066644	2104	9	0.0042775665399239545
chr02-11074080-11088089	14010	101	0.007209136331192006
chr02-11185036-11187750	2715	11	0.004051565377532229
chr02-11291456-11292644	1189	8	0.00672834314550042
chr02-11293377-11300837	7461	52	0.006969575123978019
chr02-11315207-11316355	1149	6	0.005221932114882507
chr02-11356360-11364575	8216	26	0.0031645569620253164
chr02-11364705-11365389	685	5	0.0072992700729927005
chr02-11365745-11373656	7912	38	0.004802831142568251
chr02-11375022-11382714	7693	59	0.007669309762121409
chr02-11396668-11397239	572	1	0.0017482517482517483
chr02-11518614-11520121	1508	13	0.008620689655172414
chr02-11555067-11561975	6909	53	0.007671153567810103
chr02-11621929-11626952	5024	48	0.009554140127388535
chr02-11645134-11655661	10528	55	0.005224164133738602
chr02-11659718-11661408	1691	0	0.0
chr02-11694759-11697460	2702	11	0.0040710584752035525
chr02-11771812-11776938	5127	53	0.010337429295884533
chr02-11798040-11798566	527	3	0.0056925996204933585
chr02-11798632-11799840	1209	6	0.004962779156327543
chr02-11824054-11824440	387	0	0.0
chr02-11831594-11837156	5563	44	0.007909401402121157
chr02-11846105-11865933	19829	114	0.0057491552776236824
chr02-11874980-11879293	4314	27	0.006258692628650904
chr02-11898190-11901756	3567	7	0.0019624334174376226
chr02-11902373-11902768	396	2	0.005050505050505051
chr02-11907987-11929943	21957	148	0.006740447237782939
chr02-12041973-12042635	663	0	0.0
chr02-12046156-12049753	3598	7	0.0019455252918287938
chr02-12092941-12093459	519	5	0.009633911368015413
chr02-12108859-12109383	525	3	0.005714285714285714
chr02-12109453-12111941	2489	17	0.006830052229811169
chr02-12113781-12117193	3413	36	0.01054790506885438
chr02-12184706-12187799	3094	24	0.007756948933419522
chr02-12201472-12206012	4541	27	0.005945826910372164
chr02-12213170-12218769	5600	43	0.007678571428571429
chr02-12243611-12244081	471	1	0.0021231422505307855
chr02-12310536-12318434	7899	58	0.007342701607798456
chr02-12320458-12335968	15511	106	0.006833859841402876
chr02-12409651-12410085	435	3	0.006896551724137931
chr02-12480293-12504348	24056	164	0.0068174260059860325
chr02-12510508-12512270	1763	7	0.003970504821327283
chr02-12558531-12561290	2760	6	0.002173913043478261
chr02-12566043-12567978	1936	17	0.00878099173553719
chr02-12611400-12612710	1311	8	0.006102212051868803
chr02-12612720-12627321	14602	75	0.005136282700999863
chr02-12644478-12645431	954	10	0.010482180293501049
chr02-12736413-12742299	5887	42	0.007134363852556481
chr02-12750469-12754764	4296	35	0.008147113594040968
chr02-12770403-12770951	549	1	0.0018214936247723133
chr02-12793631-12797658	4028	49	0.012164846077457795
chr02-12801032-12813561	12530	133	0.010614525139664804
chr02-12820070-12822205	2136	17	0.007958801498127341
chr02-12854204-12856247	2044	11	0.0053816046966731895
chr02-12861233-12864487	3255	2	0.0006144393241167435
chr02-12877613-12881664	4052	24	0.005923000987166831
chr02-12878347-12885243	6897	42	0.006089604175728578
chr02-12888508-12892206	3699	16	0.004325493376588267
chr02-12895713-12903604	7892	48	0.006082108464267613
chr02-12904114-12905302	1189	6	0.005046257359125316
chr02-12905647-12906843	1197	7	0.005847953216374269
chr02-12909858-12910217	360	1	0.002777777777777778
chr02-12910447-12912189	1743	0	0.0
chr02-12934172-12935548	1377	11	0.007988380537400145
chr02-12950037-12954142	4106	35	0.008524111056989771
chr02-12966264-12967186	923	11	0.011917659804983749
chr02-13126993-13137117	10125	76	0.007506172839506173
chr02-13241817-13250003	8187	96	0.011725906925613778
chr02-13250754-13261162	10409	91	0.008742434431741762
chr02-13325611-13326666	1056	9	0.008522727272727272
chr02-13327813-13340255	12443	72	0.005786385919794262
chr02-13351321-13352652	1332	7	0.005255255255255256
chr02-13365195-13371173	5979	42	0.007024586051179127
chr02-13437205-13443058	5854	50	0.008541168431841476
chr02-13478029-13484064	6036	49	0.008117958913187541
chr02-13504241-13506134	1894	15	0.00791974656810982
chr02-13510090-13521027	10938	38	0.003474126897056135
chr02-13525645-13534086	8442	36	0.0042643923240938165
chr02-13534249-13534638	390	4	0.010256410256410256
chr02-13551954-13568985	17032	97	0.005695162047909817
chr02-13586371-13587356	986	4	0.004056795131845842
chr02-13595360-13624986	29627	144	0.004860431363283491
chr02-13647513-13661563	14051	121	0.008611486726923351
chr02-13701783-13705659	3877	1	0.00025793139025019347
chr02-13709764-13712602	2839	0	0.0
chr02-13721937-13725166	3230	11	0.003405572755417957
chr02-13854787-13861555	6769	42	0.0062047569803516025
chr02-13867323-13870945	3623	8	0.0022081148219707425
chr02-13876576-13881931	5356	39	0.007281553398058253
chr02-13912898-13920225	7328	46	0.006277292576419214
chr02-13971082-13976009	4928	30	0.006087662337662338
chr02-13987703-13988234	532	2	0.0037593984962406013
chr02-14020992-14023002	2011	15	0.007458975634012929
chr02-14034228-14034908	681	3	0.004405286343612335
chr02-14052320-14056509	4190	67	0.015990453460620526
chr02-14092955-14093512	558	0	0.0
chr02-14122064-14123086	1023	14	0.013685239491691105
chr02-14132498-14133100	603	6	0.009950248756218905
chr02-14135182-14135610	429	6	0.013986013986013986
chr02-14136103-14158181	22079	161	0.007291996920150369
chr02-14177775-14179392	1618	3	0.001854140914709518
chr02-14203458-14206051	2594	13	0.0050115651503469544
chr02-14330652-14331033	382	15	0.03926701570680628
chr02-14342635-14347037	4403	24	0.005450828980240745
chr02-14373238-14373582	345	1	0.002898550724637681
chr02-14477126-14478554	1429	6	0.004198740377886634
chr02-14567758-14569206	1449	10	0.006901311249137336
chr02-14590178-14597668	7491	51	0.006808169803764518
chr02-14639905-14640258	354	7	0.01977401129943503
chr02-14665616-14675507	9892	56	0.005661140315406389
chr02-14690548-14691096	549	1	0.0018214936247723133
chr02-14708660-14712349	3690	21	0.005691056910569106
chr02-14748887-14749443	557	0	0.0
chr02-14760521-14761492	972	1	0.00102880658436214
chr02-14764455-14765583	1129	11	0.00974313551815766
chr02-14787652-14799207	11556	50	0.004326756663205262
chr02-14800197-14812153	11957	38	0.0031780546959939786
chr02-14812462-14814701	2240	18	0.008035714285714285
chr02-14875644-14879593	3950	12	0.0030379746835443038
chr02-14912156-14913466	1311	4	0.0030511060259344014
chr02-14933310-14933657	348	2	0.005747126436781609
chr02-14933810-14938602	4793	35	0.007302315877321094
chr02-14941471-14951435	9965	42	0.004214751630707476
chr02-14988088-14989056	969	11	0.011351909184726523
chr02-15047309-15048149	841	5	0.005945303210463734
chr02-15077694-15078251	558	2	0.0035842293906810036
chr02-15111552-15113543	1992	9	0.004518072289156626
chr02-15136019-15136417	399	5	0.012531328320802004
chr02-15164555-15178872	14318	90	0.006285794105321972
chr02-15231538-15239753	8216	56	0.006815968841285297
chr02-15240280-15241695	1416	13	0.009180790960451978
chr02-15261996-15262493	498	5	0.010040160642570281
chr02-15265999-15267836	1838	19	0.010337323177366704
chr02-15284215-15292322	8108	33	0.0040700542673902315
chr02-15294272-15294814	543	5	0.009208103130755065
chr02-15298936-15299802	867	7	0.008073817762399077
chr02-15304410-15311686	7277	99	0.013604507351930742
chr02-15312929-15315915	2987	21	0.007030465349849347
chr02-15316149-15318331	2183	19	0.008703618873110398
chr02-15325115-15325918	804	17	0.021144278606965175
chr02-15326167-15326995	829	12	0.014475271411338963
chr02-15331806-15345652	13847	79	0.005705206904022532
chr02-15398622-15399296	675	5	0.007407407407407408
chr02-15413930-15438114	24185	140	0.005788712011577424
chr02-15478435-15484070	5636	58	0.01029098651525905
chr02-15492151-15492576	426	6	0.014084507042253521
chr02-15500039-15507791	7753	14	0.0018057526118921707
chr02-15527293-15529849	2557	27	0.010559249120062574
chr02-15546947-15548603	1657	17	0.010259505129752565
chr02-15550585-15578737	28153	242	0.008595886761623983
chr02-15592781-15593889	1109	6	0.005410279531109108
chr02-15599933-15605796	5864	34	0.005798090040927694
chr02-15744941-15745323	383	4	0.010443864229765013
chr02-15767228-15767628	401	2	0.004987531172069825
chr02-15816283-15817936	1654	10	0.006045949214026602
chr02-15881796-15884553	2758	15	0.005438723712835388
chr02-15924191-15928784	4594	6	0.00130605137135394
chr02-15966932-15968826	1895	28	0.014775725593667546
chr02-15989379-15989970	592	0	0.0
chr02-16012335-16017552	5218	2	0.0003832886163280951
chr02-16018990-16020507	1518	16	0.010540184453227932
chr02-16031936-16032871	936	7	0.007478632478632479
chr02-16033742-16034203	462	2	0.004329004329004329
chr02-16078699-16079367	669	8	0.01195814648729447
chr02-16096908-16097869	962	5	0.005197505197505198
chr02-16115161-16118422	3262	52	0.01594114040465972
chr02-16123080-16130360	7281	50	0.006867188572998215
chr02-16130974-16132265	1292	16	0.01238390092879257
chr02-16158435-16159743	1309	6	0.004583651642475172
chr02-16215793-16216486	694	6	0.008645533141210375
chr02-16306615-16309593	2979	11	0.0036925142665323934
chr02-16314807-16319471	4665	24	0.005144694533762058
chr02-16319711-16327901	8191	56	0.006836772066902698
chr02-16399421-16405083	5663	28	0.004944375772558714
chr02-16409699-16412342	2644	12	0.0045385779122541605
chr02-16414318-16417544	3227	25	0.0077471335605825845
chr02-16425881-16426397	517	5	0.009671179883945842
chr02-16430201-16436630	6430	39	0.006065318818040436
chr02-16444707-16445134	428	4	0.009345794392523364
chr02-16450493-16451267	775	2	0.0025806451612903226
chr02-16451758-16457915	6158	42	0.006820396232543034
chr02-16468947-16471148	2202	8	0.0036330608537693005
chr02-16496515-16496947	433	2	0.004618937644341801
chr02-16558346-16558783	438	3	0.00684931506849315
chr02-16565408-16565725	318	1	0.0031446540880503146
chr02-16567329-16578251	10923	52	0.004760596905612011
chr02-16587392-16595301	7910	50	0.006321112515802781
chr02-16595555-16596484	930	8	0.008602150537634409
chr02-16599993-16601861	1869	18	0.009630818619582664
chr02-16602183-16612448	10266	53	0.005162672900837717
chr02-16613727-16614397	671	4	0.005961251862891207
chr02-16656815-16657846	1032	5	0.0048449612403100775
chr02-16667731-16668088	358	2	0.00558659217877095
chr02-16678949-16683154	4206	21	0.004992867332382311
chr02-16686877-16687197	321	0	0.0
chr02-16719980-16722400	2421	21	0.008674101610904586
chr02-16730943-16732334	1392	12	0.008620689655172414
chr02-16742800-16747885	5086	38	0.007471490365709791
chr02-16777693-16778326	634	0	0.0
chr02-16805953-16811073	5121	29	0.005662956453817614
chr02-16822482-16834863	12382	43	0.003472783072201583
chr02-16865894-16870625	4732	56	0.011834319526627219
chr02-16872920-16880827	7908	69	0.008725341426403643
chr02-16893318-16894115	798	6	0.007518796992481203
chr02-16894248-16894614	367	1	0.0027247956403269754
chr02-16894708-16896892	2185	20	0.009153318077803204
chr02-16902147-16904184	2038	0	0.0
chr02-16905496-16915423	9928	79	0.007957292506043514
chr02-16927220-16938371	11152	105	0.00941535150645624
chr02-16967718-16969938	2221	17	0.00765420981539847
chr02-16972215-16975510	3296	9	0.0027305825242718447
chr02-16979997-16980467	471	0	0.0
chr02-16982916-16989058	6143	15	0.0024418036789842098
chr02-17030961-17031680	720	3	0.004166666666666667
chr02-17035209-17036339	1131	3	0.002652519893899204
chr02-17043480-17069595	26116	129	0.004939500689232654
chr02-17080935-17081234	300	3	0.01
chr02-17097525-17101463	3939	38	0.009647118558009647
chr02-17101951-17106261	4311	20	0.004639294827186268
chr02-17108421-17113327	4907	3	0.0006113715100876299
chr02-17119327-17120158	832	5	0.006009615384615385
chr02-17120767-17122277	1511	13	0.008603573792190603
chr02-17122451-17124409	1959	16	0.00816743236345074
chr02-17133896-17139971	6076	86	0.014154048716260697
chr02-17152091-17154826	2736	23	0.008406432748538011
chr02-17153731-17161153	7423	74	0.009969015222955678
chr02-17163446-17164622	1177	5	0.004248088360237893
chr02-17197602-17199804	2203	11	0.004993191103041307
chr02-17262699-17265124	2426	16	0.006595218466611707
chr02-17283877-17284824	948	17	0.017932489451476793
chr02-17300708-17314445	13738	73	0.005313728344737225
chr02-17317122-17319972	2851	1	0.00035075412136092597
chr02-17322766-17323389	624	4	0.00641025641025641
chr02-17337732-17354104	16373	93	0.005680083063580285
chr02-17386273-17387807	1535	11	0.0071661237785016286
chr02-17393220-17399829	6610	40	0.006051437216338881
chr02-17416569-17430012	13444	91	0.006768818803927402
chr02-17447996-17448272	277	0	0.0
chr02-17454952-17458818	3867	19	0.00491336953710887
chr02-17470091-17471636	1546	0	0.0
chr02-17473238-17478752	5515	7	0.001269265639165911
chr02-17481002-17484634	3633	29	0.007982383704927057
chr02-17492717-17493061	345	3	0.008695652173913044
chr02-17529627-17532156	2530	17	0.0067193675889328066
chr02-17551155-17555821	4667	20	0.004285408185129634
chr02-17574628-17580709	6082	52	0.008549819138441302
chr02-17599290-17605562	6273	45	0.007173601147776184
chr02-17647189-17653316	6128	39	0.0063642297650130545
chr02-17662831-17663354	524	2	0.003816793893129771
chr02-17668500-17674134	5635	54	0.009582963620230702
chr02-17687557-17694787	7231	61	0.008435900981883557
chr02-17695715-17704188	8474	94	0.011092754307292896
chr02-17738149-17740939	2791	26	0.009315657470440702
chr02-17753243-17759291	6049	19	0.003141015043808894
chr02-17817599-17822745	5147	28	0.00544006217213911
chr02-17826779-17827504	726	1	0.0013774104683195593
chr02-17845345-17849518	4174	0	0.0
chr02-17887913-17888332	420	0	0.0
chr02-17927955-17931534	3580	25	0.006983240223463687
chr02-17950409-17951039	631	0	0.0
chr02-17983330-17985163	1834	3	0.0016357688113413304
chr02-17987396-17987773	378	0	0.0
chr02-18041335-18041697	363	0	0.0
chr02-18043481-18046450	2970	2	0.0006734006734006734
chr02-18120621-18122795	2175	6	0.002758620689655172
chr02-18166533-18170499	3967	27	0.006806150743634989
chr02-18170762-18175764	5003	37	0.007395562662402559
chr02-18184544-18185688	1145	7	0.00611353711790393
chr02-18190037-18197628	7592	61	0.00803477344573235
chr02-18233063-18238088	5026	46	0.00915240748109829
chr02-18239601-18240910	1310	8	0.0061068702290076335
chr02-18252377-18255435	3059	0	0.0
chr02-18270518-18271390	873	0	0.0
chr02-18275163-18281304	6142	25	0.0040703353956366
chr02-18298655-18299963	1309	0	0.0
chr02-18326508-18327245	738	0	0.0
chr02-18330259-18331372	1114	0	0.0
chr02-18352933-18354241	1309	0	0.0
chr02-18367274-18370064	2791	1	0.00035829451809387314
chr02-18370822-18371488	667	1	0.0014992503748125937
chr02-18411117-18414241	3125	32	0.01024
chr02-18417024-18445513	28490	180	0.006318006318006318
chr02-18418304-18420062	1759	9	0.00511654349061967
chr02-18450602-18454890	4289	31	0.007227792026113313
chr02-18457036-18460974	3939	31	0.00787001777100787
chr02-18476505-18487266	10762	69	0.006411447686303661
chr02-18489408-18490191	784	0	0.0
chr02-18490411-18491366	956	1	0.0010460251046025104
chr02-18492103-18495449	3347	1	0.00029877502240812666
chr02-18504586-18510047	5462	30	0.005492493592090809
chr02-18516365-18516984	620	0	0.0
chr02-18521792-18535131	13340	108	0.008095952023988006
chr02-18548425-18551359	2935	24	0.008177172061328791
chr02-18570864-18572382	1519	13	0.008558262014483212
chr02-18572497-18572850	354	7	0.01977401129943503
chr02-18672685-18673113	429	4	0.009324009324009324
chr02-18681347-18688473	7127	51	0.007155886067068893
chr02-18722953-18725161	2209	14	0.006337709370755998
chr02-18734732-18742970	8239	52	0.006311445563782012
chr02-18743058-18750278	7221	75	0.01038637307852098
chr02-18752690-18754552	1863	17	0.00912506709608159
chr02-18762646-18765964	3319	9	0.0027116601385959627
chr02-18770760-18774001	3242	35	0.0107958050586058
chr02-18775076-18785508	10433	61	0.00584683216716189
chr02-18794275-18809796	15522	146	0.009406004380878753
chr02-18816862-18821971	5110	45	0.008806262230919765
chr02-18823005-18827788	4784	20	0.004180602006688963
chr02-18830603-18836307	5705	5	0.0008764241893076249
chr02-18838788-18839147	360	0	0.0
chr02-18843653-18854673	11021	64	0.005807095544868887
chr02-18912806-18915402	2597	29	0.011166730843280709
chr02-18963484-18967073	3590	5	0.001392757660167131
